mjd, region, lo_mu, hi_mu, pixel_frac, light_frac, v_hat, v_phot, v_quiet, v_conv, mag_unsigned, avg_int, avg_int_flat
56662.998716435184,nan,nan,nan,11647626,555545260000.0,-8.772171,1.2107331550171134,-19.337381,10.56521,14.197499,555545264128.0,664775832366.3007

56662.998716435184,1,0.1,0.2,5.151264300553606e-06,1.165914e-06,-169.01515,2894.2794001292013,0.0,-433.06598,294.89343,10795.3,21102.913833903414

56662.998716435184,2,0.1,0.2,1.8716260292011437e-05,8.47791e-06,-831.24786,616.0339149520486,0.0,-1095.2987,375.82397,21604.876146788993,41879.021050739306

56662.998716435184,2.5,0.1,0.2,4.430087298476102e-05,2.0399137e-05,56.288727,546.8606776003838,0.0,-207.76208,379.4767,21962.488372093023,43222.82679377364

56662.998716435184,3,0.1,0.2,2.5584612692749577e-05,1.1921226e-05,687.47,497.66737478804197,0.0,423.41916,382.07443,22224.09731543624,44205.87931720145

56662.998716435184,4,0.1,0.2,0.029362378221965576,0.017385507,264.0508,0.0,264.0508,0.0,6.816597,28240.87456798498,56592.85415555144

56662.998716435184,5,0.1,0.2,0.0003258174670100156,0.00019733403,240.73259,-5.224934096872636,0.0,-23.318222,27.659615,28887.47931488801,58023.16590438907

56662.998716435184,6,0.1,0.2,0.0005656946746057952,0.00034629618,159.74771,-9.42007096353469,0.0,-104.3031,49.59207,29197.632417665805,58318.59868131163

56662.998716435184,7,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

56662.998716435184,1,0.2,0.30000000000000004,3.434176200369071e-07,1.0108807e-07,-226.96085,-2246.3988633740814,0.0,-352.72632,208.728,14039.75,23934.061023129103

56662.998716435184,2,0.2,0.30000000000000004,1.1418635866227161e-05,5.8021897e-06,-472.36493,-623.9358314664823,0.0,-598.1304,376.47086,24235.93233082707,41226.45506134033

56662.998716435184,2.5,0.2,0.30000000000000004,1.4251831231531644e-05,7.554074e-06,-157.82576,-536.4666260750514,0.0,-283.59125,361.76068,25280.90361445783,42880.74061008485

56662.998716435184,3,0.2,0.30000000000000004,2.8331953653044836e-06,1.7518843e-06,883.91876,-246.7711623093577,0.0,758.1533,313.04117,29492.454545454544,49548.01267017638

56662.998716435184,4,0.2,0.30000000000000004,0.04878461928636788,0.033796895,125.76547,0.0,125.76547,0.0,6.5673156,33042.73060847376,57396.14779658745

56662.998716435184,5,0.2,0.30000000000000004,0.0006831435006584174,0.00048634736,109.04305,-10.432929853996825,0.0,-16.72242,33.52631,33956.009551338444,59039.18577962192

56662.998716435184,6,0.2,0.30000000000000004,0.0010246723237851215,0.0007423461,125.549995,-4.636336323102862,0.0,-0.21547699,54.42355,34554.407038123165,60158.56476563557

56662.998716435184,7,0.2,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

56662.998716435184,1,0.30000000000000004,0.4,3.863448225415205e-06,1.1658329e-06,-262.77448,-2352.245676597922,0.0,-296.44946,598.43994,14392.733333333334,23114.546886118867

56662.998716435184,2,0.30000000000000004,0.4,4.438672738977024e-05,2.5312405e-05,-484.01834,-548.3451251217003,0.0,-517.69336,408.44955,27199.588007736944,42344.02598868526

56662.998716435184,2.5,0.30000000000000004,0.4,7.735481891331332e-05,4.6148016e-05,9.6327095,-440.3320355339324,0.0,-24.042278,342.02567,28454.286348501664,44677.970720376085

56662.998716435184,3,0.30000000000000004,0.4,3.296809152354308e-05,2.08356e-05,609.3512,-309.111127806009,0.0,575.6762,261.33008,30143.5390625,47820.28693465777

56662.998716435184,4,0.30000000000000004,0.4,0.06748164819165725,0.052704297,33.674988,0.0,33.674988,0.0,6.3918705,37251.38157330589,57451.74281123973

56662.998716435184,5,0.30000000000000004,0.4,0.001287644366328383,0.0010337146,65.87178,-1.3167637198879705,0.0,32.196793,38.983517,38290.12294972663,59093.343927708316

56662.998716435184,6,0.30000000000000004,0.4,0.0016925337403518965,0.0013825932,49.167755,16.39373419510871,0.0,15.492767,95.3863,38961.80988130263,60249.31277175139

56662.998716435184,7,0.30000000000000004,0.4,0.00016432533118766006,0.00013802644,99.27592,64.17401380443472,0.0,65.60093,141.95978,40062.66248693835,59639.475538694096

56662.998716435184,1,0.4,0.5,8.671294905931905e-06,2.379059e-06,-398.29547,-3028.65310806237,0.0,-378.3012,605.91113,13085.89108910891,18995.845470421154

56662.998716435184,2,0.4,0.5,8.087484951869162e-05,4.9597504e-05,-1166.2007,-532.0405151282123,0.0,-1146.2064,531.2943,29250.167728237793,42229.23289952157

56662.998716435184,2.5,0.4,0.5,0.00010225259636598909,6.4056905e-05,-750.16095,-484.74176717141523,0.0,-730.1667,450.45816,29879.52308984047,43248.471717440705

56662.998716435184,3,0.4,0.5,2.1377746847297465e-05,1.4459416e-05,676.90515,-322.50111645916644,0.0,696.8994,173.18015,32260.481927710844,47104.38724547213

56662.998716435184,4,0.4,0.5,0.08721056119075252,0.07499525,-19.994274,0.0,-19.994274,0.0,6.2941165,41015.37565416678,57243.08533128098

56662.998716435184,5,0.4,0.5,0.0020498597740002985,0.0018033256,20.514832,-0.08284165402060145,0.0,40.509106,41.4816,41959.666275758085,58587.73633114374

56662.998716435184,6,0.4,0.5,0.001448106249290628,0.0012854435,-55.29773,-17.741152910605184,0.0,-35.303455,79.772644,42338.41513013577,59523.50106105519

56662.998716435184,7,0.4,0.5,8.654124024930058e-05,7.2326795e-05,-125.84112,14.555238748150956,0.0,-105.84685,107.83125,39861.9126984127,57689.98334594063

56662.998716435184,1,0.5,0.6,8.156168475876543e-06,2.8409243e-06,-352.9364,-2302.453932989205,0.0,-311.9134,676.97015,16613.284210526315,21711.033963336806

56662.998716435184,2,0.5,0.6,4.129596880943808e-05,2.6346286e-05,-665.8277,-629.1874025231484,0.0,-624.8047,546.93396,30429.428274428275,39381.42529726336

